event_name, event_url, event_venue, event_category
Aries Spears, https://www.hellotickets.co.uk/us/new-york/concerts/aries-spears-tickets/388283, The Theater at Madison Square Garden, Concerts
Diana Ross, https://www.hellotickets.co.uk/us/new-york/concerts/preacher-lawson-tickets/388927, New Jersey Performing Arts Center  Prudential Hall, Concerts
Justin Timberlake, https://www.hellotickets.co.uk/us/new-york/concerts/justin-timberlake-tickets/390199, Barclays Center, Concerts
Usher, https://www.hellotickets.co.uk/us/new-york/concerts/usher-tickets/390200, Barclays Center, Concerts
Justin Timberlake, https://www.hellotickets.co.uk/us/new-york/concerts/justin-timberlake-tickets/390201, Prudential Center, Concerts
Creed, 3 Doors Down & Mammoth WVH, https://www.hellotickets.co.uk/us/new-york/concerts/creed-3-doors-down-mammoth-wvh-tickets/390215, Madison Square Garden, Concerts
Incubus & Coheed and Cambria, https://www.hellotickets.co.uk/us/new-york/concerts/incubus-coheed-and-cambria-tickets/390216, Madison Square Garden, Concerts
UB40 & Fatest Land Animal, https://www.hellotickets.co.uk/us/new-york/concerts/ub40-fatest-land-animal-tickets/390780, Sony Hall, Concerts
International Championship of Collegiate A Cappella, https://www.hellotickets.co.uk/us/new-york/concerts/international-championship-of-collegiate-a-cappella-tickets/390870, Town Hall Theatre  NY, Concerts
Harlem Gospel Choir Sings Aretha Franklin, https://www.hellotickets.co.uk/us/new-york/concerts/harlem-gospel-choir-sings-aretha-franklin-tickets/391605, Sony Hall, Concerts
Jennifer Lopez, https://www.hellotickets.co.uk/us/new-york/concerts/jennifer-lopez-tickets/392624, UBS Arena, Concerts
Illinoise, https://www.hellotickets.co.uk/us/new-york/theatre/illinoise-tickets/392755, St James Theatre, Theatre
Lizzy McAlpine, https://www.hellotickets.co.uk/us/new-york/concerts/lizzy-mcalpine-tickets/392851, Radio City Music Hall, Concerts
Devin Haney, https://www.hellotickets.co.uk/us/new-york/sports/devin-haney-tickets/393718, Barclays Center, Sports
PBR Team Series: Rattler Days, https://www.hellotickets.co.uk/us/new-york/sports/pbr-team-series-rattler-days-tickets/394282, Barclays Center, Sports
Aventura, https://www.hellotickets.co.uk/us/new-york/concerts/aventura-tickets/394284, Prudential Center, Concerts
Aventura, https://www.hellotickets.co.uk/us/new-york/concerts/aventura-tickets/394289, Madison Square Garden, Concerts
McDonald's Gospelfest, https://www.hellotickets.co.uk/us/new-york/concerts/mcdonalds-gospelfest-tickets/394395, Lehman Performing Arts Center, Concerts
Aventura, https://www.hellotickets.co.uk/us/new-york/concerts/aventura-tickets/394737, UBS Arena, Concerts
Aventura, https://www.hellotickets.co.uk/us/new-york/concerts/aventura-tickets/394745, Barclays Center, Concerts
Kacey Musgraves, Lord Huron & Nickel Creek, https://www.hellotickets.co.uk/us/new-york/concerts/kacey-musgraves-lord-huron-nickel-creek-tickets/394746, Barclays Center, Concerts
Kacey Musgraves, Father John Misty & Nickel Creek, https://www.hellotickets.co.uk/us/new-york/concerts/kacey-musgraves-father-john-misty-nickel-creek-tickets/394747, Prudential Center, Concerts
World Championship Sumo, https://www.hellotickets.co.uk/us/new-york/sports/world-championship-sumo-tickets/395398, The Theater at Madison Square Garden, Sports
UFC - Ultimate Fighting Championship, https://www.hellotickets.co.uk/us/new-york/sports/ufc-ultimate-fighting-championship-tickets/395416, Prudential Center, Sports
Whitney Cummings, https://www.hellotickets.co.uk/us/new-york/concerts/whitney-cummings-tickets/395430, Beacon Theatre  NY, Concerts
Chris Brown, https://www.hellotickets.co.uk/us/new-york/concerts/chris-brown-tickets/395467, UBS Arena, Concerts
Kid Cudi, Pusha T & Jaden, https://www.hellotickets.co.uk/us/new-york/concerts/kid-cudi-pusha-t-jaden-tickets/395490, Madison Square Garden, Concerts
Chris Brown, https://www.hellotickets.co.uk/us/new-york/concerts/chris-brown-tickets/395572, Prudential Center, Concerts
Kid Cudi, Pusha T & Jaden, https://www.hellotickets.co.uk/us/new-york/concerts/kid-cudi-pusha-t-jaden-tickets/395574, Prudential Center, Concerts
Chris Brown, https://www.hellotickets.co.uk/us/new-york/concerts/chris-brown-tickets/395773, Barclays Center, Concerts
Daryl Hall & Elvis Costello and The Imposters, https://www.hellotickets.co.uk/us/new-york/concerts/daryl-hall-elvis-costello-and-the-imposters-tickets/395902, Radio City Music Hall, Concerts
Tokyo Police Club, https://www.hellotickets.co.uk/us/new-york/concerts/tokyo-police-club-tickets/396374, Irving Plaza, Concerts
L'Imperatrice, https://www.hellotickets.co.uk/us/new-york/concerts/limperatrice-tickets/396709, Terminal 5, Concerts
Method Man & Redman, https://www.hellotickets.co.uk/us/new-york/concerts/method-man-redman-tickets/396710, Terminal 5, Concerts
Russ, https://www.hellotickets.co.uk/us/new-york/concerts/russ-tickets/396758, Barclays Center, Concerts
Matchbox Twenty, https://www.hellotickets.co.uk/us/new-york/concerts/matchbox-twenty-tickets/396857, Prudential Center, Concerts
Hans Zimmer, https://www.hellotickets.co.uk/us/new-york/concerts/hans-zimmer-tickets/396877, Madison Square Garden, Concerts
Meghan Trainor, https://www.hellotickets.co.uk/us/new-york/concerts/meghan-trainor-tickets/396878, Madison Square Garden, Concerts
Jon Batiste, https://www.hellotickets.co.uk/us/new-york/concerts/jon-batiste-tickets/397945, Radio City Music Hall, Concerts
Soccer Champions Tour - Manchester City, https://www.hellotickets.co.uk/us/new-york/sports/soccer-champions-tour-manchester-city-tickets/398357, Yankee Stadium, Sports
ICC Cricket World Cup, https://www.hellotickets.co.uk/us/new-york/sports/icc-cricket-world-cup-tickets/398806, Nassau County International Cricket Stadium, Sports
